ID,Brand,Model,Year,Cost,Odometer,City,Registration Date,Cost_Per_KM,RegistrationYear,PriceCategory,ModelCleaned,price_segment,vehicle_type,vehicle_type_standardized
31,Ford,Model A,1997,15000.0,124920.90583631671,Cologne,2022-12-12 00:00:00,0.12007597847276605,2022,Mid-Range,Model A,High,SUV,Sport Utility
32,Volkswagen,Model C,1995,10000.0,100000.0,Hamburg,2013-04-07 00:00:00,0.1,2013,Mid-Range,Model C,Medium,Sedan,Sedan
33,Volkswagen,Model D,2004,20000.0,124920.90583631671,Frankfurt,2016-10-29 00:00:00,0.16010130463035474,2016,Premium,Model D,High,Convertible,Convertible
34,BMW,Model D,2004,15000.0,150000.0,Cologne,2017-09-16 00:00:00,0.1,2017,Mid-Range,Model D,High,Hatchback,Hatchback
35,Ford,Model A,1998,10000.0,124920.90583631671,Frankfurt,2020-07-23 00:00:00,0.08005065231517737,2020,Mid-Range,Model A,Medium,Wagon,Wagon
36,Mercedes,Model B,1994,15000.0,100000.0,Hamburg,2013-05-04 00:00:00,0.15,2013,Mid-Range,Model B,High,SUV,Sport Utility
37,Ford,Model D,2015,5000.0,124920.90583631671,Berlin,2017-12-22 00:00:00,0.040025326157588685,2017,Budget,Model D,Medium,Sedan,Sedan
38,Mercedes,Model D,2012,20000.0,50000.0,Hamburg,2015-03-18 00:00:00,0.4,2015,Premium,Model D,High,Convertible,Convertible
39,BMW,Model A,2005,10000.0,100000.0,Hamburg,2017-03-01 00:00:00,0.1,2017,Mid-Range,Model A,Medium,Hatchback,Hatchback
40,Audi,Model C,1999,20000.0,150000.0,Frankfurt,2021-11-06 00:00:00,0.13333333333333333,2021,Premium,Model C,High,Wagon,Wagon
41,Volkswagen,Model D,2016,25000.0,50000.0,Berlin,2019-09-20 00:00:00,0.5,2019,Premium,Model D,High,SUV,Sport Utility
42,BMW,Model B,2005,15000.0,50000.0,Munich,2013-04-11 00:00:00,0.3,2013,Mid-Range,Model B,High,Sedan,Sedan
43,Volkswagen,Model B,2010,15000.0,200000.0,Berlin,2016-08-21 00:00:00,0.075,2016,Mid-Range,Model B,High,Convertible,Convertible
44,Audi,Model A,2001,20000.0,50000.0,Frankfurt,2010-11-09 00:00:00,0.4,2010,Premium,Model A,High,Hatchback,Hatchback
45,Audi,Model B,1998,20000.0,124920.90583631671,Hamburg,2012-01-16 00:00:00,0.16010130463035474,2012,Premium,Model B,High,Wagon,Wagon
46,BMW,Model D,2005,25000.0,50000.0,Munich,2013-05-23 00:00:00,0.5,2013,Premium,Model D,High,SUV,Sport Utility
47,Audi,Model B,1998,15000.0,50000.0,Cologne,2018-03-06 00:00:00,0.3,2018,Mid-Range,Model B,High,Sedan,Sedan
48,Mercedes,Model D,2018,25000.0,200000.0,Berlin,2010-04-17 00:00:00,0.125,2010,Premium,Model D,High,Convertible,Convertible
49,Audi,Model A,2012,25000.0,124920.90583631671,Frankfurt,2021-05-22 00:00:00,0.2001266307879434,2021,Premium,Model A,High,Hatchback,Hatchback
50,Volkswagen,Model B,2013,20000.0,124920.90583631671,Cologne,2017-04-13 00:00:00,0.16010130463035474,2017,Premium,Model B,High,Wagon,Wagon
51,Volkswagen,Model D,2011,25000.0,50000.0,Frankfurt,2020-12-14 00:00:00,0.5,2020,Premium,Model D,High,SUV,Sport Utility
52,Volkswagen,Model C,2020,15000.0,150000.0,Berlin,2016-07-29 00:00:00,0.1,2016,Mid-Range,Model C,High,Sedan,Sedan
53,Volkswagen,Model D,1999,5000.0,150000.0,Hamburg,2021-06-25 00:00:00,0.03333333333333333,2021,Budget,Model D,Medium,Convertible,Convertible
54,Mercedes,Model D,2016,15000.0,124920.90583631671,Hamburg,2017-03-10 00:00:00,0.12007597847276605,2017,Mid-Range,Model D,High,Hatchback,Hatchback
55,Ford,Model A,2013,25000.0,150000.0,Frankfurt,2011-11-02 00:00:00,0.16666666666666666,2011,Premium,Model A,High,Wagon,Wagon
56,BMW,Model D,2010,15000.0,124920.90583631671,Cologne,2020-07-25 00:00:00,0.12007597847276605,2020,Mid-Range,Model D,High,SUV,Sport Utility
57,Volkswagen,Model A,2004,15000.0,124920.90583631671,Hamburg,2016-03-20 00:00:00,0.12007597847276605,2016,Mid-Range,Model A,High,Sedan,Sedan
58,Audi,Model D,2006,5000.0,100000.0,Berlin,2020-04-06 00:00:00,0.05,2020,Budget,Model D,Medium,Convertible,Convertible
59,Volkswagen,Model D,2008,15000.0,124920.90583631671,Frankfurt,2015-06-28 00:00:00,0.12007597847276605,2015,Mid-Range,Model D,High,Hatchback,Hatchback
60,Audi,Model D,2014,20000.0,100000.0,Cologne,2011-07-25 00:00:00,0.2,2011,Premium,Model D,High,Wagon,Wagon
61,Audi,Model A,2011,25000.0,50000.0,Cologne,2018-03-17 00:00:00,0.5,2018,Premium,Model A,High,SUV,Sport Utility
62,Volkswagen,Model D,2003,5000.0,200000.0,Munich,2019-03-14 00:00:00,0.025,2019,Budget,Model D,Medium,Sedan,Sedan
63,Mercedes,Model A,2017,10000.0,124920.90583631671,Hamburg,2016-07-15 00:00:00,0.08005065231517737,2016,Mid-Range,Model A,Medium,Convertible,Convertible
64,Audi,Model C,2001,15000.0,50000.0,Munich,2019-07-26 00:00:00,0.3,2019,Mid-Range,Model C,High,Hatchback,Hatchback
65,Audi,Model A,2016,20000.0,124920.90583631671,Cologne,2015-12-21 00:00:00,0.16010130463035474,2015,Premium,Model A,High,Wagon,Wagon
66,Volkswagen,Model C,2013,10000.0,124920.90583631671,Munich,2014-07-17 00:00:00,0.08005065231517737,2014,Mid-Range,Model C,Medium,SUV,Sport Utility
67,Audi,Model A,2011,10000.0,200000.0,Hamburg,2012-04-17 00:00:00,0.05,2012,Mid-Range,Model A,Medium,Sedan,Sedan
68,Audi,Model A,2012,10000.0,100000.0,Hamburg,2023-07-10 00:00:00,0.1,2023,Mid-Range,Model A,Medium,Convertible,Convertible
69,Volkswagen,Model D,1997,15000.0,124920.90583631671,Munich,2015-02-25 00:00:00,0.12007597847276605,2015,Mid-Range,Model D,High,Hatchback,Hatchback
70,Volkswagen,Model B,2017,25000.0,124920.90583631671,Hamburg,2017-09-04 00:00:00,0.2001266307879434,2017,Premium,Model B,High,Wagon,Wagon
71,BMW,Model B,2018,20000.0,100000.0,Cologne,2011-05-21 00:00:00,0.2,2011,Premium,Model B,High,SUV,Sport Utility
72,Mercedes,Model D,2004,15000.0,150000.0,Frankfurt,2016-06-27 00:00:00,0.1,2016,Mid-Range,Model D,High,Sedan,Sedan
73,Mercedes,Model C,1997,20000.0,200000.0,Munich,2013-02-26 00:00:00,0.1,2013,Premium,Model C,High,Convertible,Convertible
74,Audi,Model D,2017,20000.0,200000.0,Berlin,2022-08-11 00:00:00,0.1,2022,Premium,Model D,High,Hatchback,Hatchback
75,Mercedes,Model B,2022,25000.0,124920.90583631671,Hamburg,2011-02-22 00:00:00,0.2001266307879434,2011,Premium,Model B,High,Wagon,Wagon
76,Audi,Model A,2000,5000.0,200000.0,Berlin,2011-11-15 00:00:00,0.025,2011,Budget,Model A,Medium,SUV,Sport Utility
77,BMW,Model D,2014,10000.0,150000.0,Munich,2021-09-04 00:00:00,0.06666666666666667,2021,Mid-Range,Model D,Medium,Sedan,Sedan
78,Volkswagen,Model C,2011,15000.0,124920.90583631671,Munich,2023-01-28 00:00:00,0.12007597847276605,2023,Mid-Range,Model C,High,Convertible,Convertible
79,Volkswagen,Model D,1991,5000.0,100000.0,Berlin,2011-10-04 00:00:00,0.05,2011,Budget,Model D,Medium,Hatchback,Hatchback
80,Volkswagen,Model B,2005,15000.0,100000.0,Cologne,2023-05-27 00:00:00,0.15,2023,Mid-Range,Model B,High,Wagon,Wagon
81,Mercedes,Model A,2000,25000.0,124920.90583631671,Frankfurt,2020-08-30 00:00:00,0.2001266307879434,2020,Premium,Model A,High,SUV,Sport Utility
82,BMW,Model B,2003,10000.0,100000.0,Hamburg,2014-02-01 00:00:00,0.1,2014,Mid-Range,Model B,Medium,Sedan,Sedan
83,Mercedes,Model B,2021,20000.0,100000.0,Hamburg,2019-01-04 00:00:00,0.2,2019,Premium,Model B,High,Convertible,Convertible
84,Mercedes,Model B,2011,25000.0,124920.90583631671,Munich,2013-11-30 00:00:00,0.2001266307879434,2013,Premium,Model B,High,Hatchback,Hatchback
85,BMW,Model B,1994,5000.0,50000.0,Berlin,2021-04-06 00:00:00,0.1,2021,Budget,Model B,Medium,Wagon,Wagon
86,BMW,Model A,2012,15000.0,200000.0,Frankfurt,2014-01-17 00:00:00,0.075,2014,Mid-Range,Model A,High,SUV,Sport Utility
87,BMW,Model B,2008,20000.0,200000.0,Hamburg,2013-05-16 00:00:00,0.1,2013,Premium,Model B,High,Sedan,Sedan
88,BMW,Model C,2018,25000.0,50000.0,Berlin,2020-12-27 00:00:00,0.5,2020,Premium,Model C,High,Convertible,Convertible
89,Volkswagen,Model C,2012,15000.0,100000.0,Munich,2011-05-20 00:00:00,0.15,2011,Mid-Range,Model C,High,Hatchback,Hatchback
90,Ford,Model B,1998,20000.0,200000.0,Frankfurt,2011-05-19 00:00:00,0.1,2011,Premium,Model B,High,Wagon,Wagon
91,Ford,Model C,2007,20000.0,150000.0,Munich,2022-12-20 00:00:00,0.13333333333333333,2022,Premium,Model C,High,SUV,Sport Utility
92,BMW,Model B,2020,10000.0,50000.0,Berlin,2013-03-30 00:00:00,0.2,2013,Mid-Range,Model B,Medium,Sedan,Sedan
93,Ford,Model A,2006,5000.0,100000.0,Munich,2012-04-30 00:00:00,0.05,2012,Budget,Model A,Medium,Convertible,Convertible
94,Ford,Model A,2007,25000.0,150000.0,Hamburg,2014-02-10 00:00:00,0.16666666666666666,2014,Premium,Model A,High,Hatchback,Hatchback
95,BMW,Model C,2016,25000.0,50000.0,Munich,2014-08-20 00:00:00,0.5,2014,Premium,Model C,High,Wagon,Wagon
96,Ford,Model C,2010,25000.0,100000.0,Cologne,2023-09-12 00:00:00,0.25,2023,Premium,Model C,High,SUV,Sport Utility
97,Mercedes,Model B,1990,15000.0,124920.90583631671,Cologne,2014-01-26 00:00:00,0.12007597847276605,2014,Mid-Range,Model B,High,Sedan,Sedan
98,Audi,Model D,2021,10000.0,100000.0,Cologne,2012-05-08 00:00:00,0.1,2012,Mid-Range,Model D,Medium,Convertible,Convertible
99,Audi,Model B,2003,15000.0,150000.0,Hamburg,2013-06-29 00:00:00,0.1,2013,Mid-Range,Model B,High,Hatchback,Hatchback
100,BMW,Model B,2003,20000.0,200000.0,Munich,2019-03-17 00:00:00,0.1,2019,Premium,Model B,High,Wagon,Wagon
101,Volkswagen,Model A,2022,15000.0,50000.0,Hamburg,2014-04-12 00:00:00,0.3,2014,Mid-Range,Model A,High,SUV,Sport Utility
102,BMW,Model D,2001,15000.0,124920.90583631671,Cologne,2018-11-02 00:00:00,0.12007597847276605,2018,Mid-Range,Model D,High,Sedan,Sedan
103,Volkswagen,Model D,2014,15000.0,50000.0,Frankfurt,2019-12-16 00:00:00,0.3,2019,Mid-Range,Model D,High,Convertible,Convertible
104,Audi,Model B,2004,15000.0,100000.0,Cologne,2011-11-09 00:00:00,0.15,2011,Mid-Range,Model B,High,Hatchback,Hatchback
105,BMW,Model A,2009,15000.0,124920.90583631671,Berlin,2019-11-16 00:00:00,0.12007597847276605,2019,Mid-Range,Model A,High,Wagon,Wagon
106,Mercedes,Model C,2003,10000.0,200000.0,Frankfurt,2019-01-06 00:00:00,0.05,2019,Mid-Range,Model C,Medium,SUV,Sport Utility
107,Ford,Model A,2019,15000.0,50000.0,Cologne,2023-12-14 00:00:00,0.3,2023,Mid-Range,Model A,High,Sedan,Sedan
108,Volkswagen,Model C,2002,10000.0,50000.0,Munich,2015-03-02 00:00:00,0.2,2015,Mid-Range,Model C,Medium,Convertible,Convertible
109,Ford,Model A,2003,10000.0,150000.0,Frankfurt,2022-09-11 00:00:00,0.06666666666666667,2022,Mid-Range,Model A,Medium,Hatchback,Hatchback
110,Ford,Model D,2018,15000.0,100000.0,Hamburg,2022-07-07 00:00:00,0.15,2022,Mid-Range,Model D,High,Wagon,Wagon
111,BMW,Model A,2015,15000.0,150000.0,Frankfurt,2013-07-03 00:00:00,0.1,2013,Mid-Range,Model A,High,SUV,Sport Utility
112,Ford,Model B,1992,15000.0,124920.90583631671,Munich,2020-04-13 00:00:00,0.12007597847276605,2020,Mid-Range,Model B,High,Sedan,Sedan
113,Mercedes,Model C,2014,5000.0,50000.0,Hamburg,2016-07-13 00:00:00,0.1,2016,Budget,Model C,Medium,Convertible,Convertible
114,Ford,Model A,2016,15000.0,124920.90583631671,Cologne,2019-04-27 00:00:00,0.12007597847276605,2019,Mid-Range,Model A,High,Hatchback,Hatchback
115,BMW,Model A,2005,15000.0,200000.0,Munich,2018-07-30 00:00:00,0.075,2018,Mid-Range,Model A,High,Wagon,Wagon
116,Mercedes,Model C,2000,20000.0,200000.0,Frankfurt,2010-03-13 00:00:00,0.1,2010,Premium,Model C,High,SUV,Sport Utility
117,Audi,Model A,2018,5000.0,150000.0,Berlin,2017-11-27 00:00:00,0.03333333333333333,2017,Budget,Model A,Medium,Sedan,Sedan
118,Ford,Model C,2013,15000.0,150000.0,Frankfurt,2020-06-25 00:00:00,0.1,2020,Mid-Range,Model C,High,Convertible,Convertible
119,BMW,Model D,2018,15000.0,150000.0,Hamburg,2017-07-22 00:00:00,0.1,2017,Mid-Range,Model D,High,Hatchback,Hatchback
120,Audi,Model C,2000,25000.0,50000.0,Cologne,2016-09-27 00:00:00,0.5,2016,Premium,Model C,High,Wagon,Wagon
121,Audi,Model C,2009,20000.0,200000.0,Frankfurt,2021-11-18 00:00:00,0.1,2021,Premium,Model C,High,SUV,Sport Utility
122,Volkswagen,Model D,2009,15000.0,200000.0,Munich,2011-03-12 00:00:00,0.075,2011,Mid-Range,Model D,High,Sedan,Sedan
123,Mercedes,Model A,1998,10000.0,150000.0,Cologne,2022-07-16 00:00:00,0.06666666666666667,2022,Mid-Range,Model A,Medium,Convertible,Convertible
124,Ford,Model A,2012,10000.0,200000.0,Munich,2018-07-07 00:00:00,0.05,2018,Mid-Range,Model A,Medium,Hatchback,Hatchback
125,BMW,Model D,2016,20000.0,50000.0,Frankfurt,2015-06-05 00:00:00,0.4,2015,Premium,Model D,High,Wagon,Wagon
126,Volkswagen,Model B,2013,20000.0,100000.0,Berlin,2016-02-22 00:00:00,0.2,2016,Premium,Model B,High,SUV,Sport Utility
127,Mercedes,Model C,2014,20000.0,50000.0,Frankfurt,2014-12-23 00:00:00,0.4,2014,Premium,Model C,High,Sedan,Sedan
128,Volkswagen,Model A,2014,20000.0,124920.90583631671,Munich,2023-10-05 00:00:00,0.16010130463035474,2023,Premium,Model A,High,Convertible,Convertible
129,Mercedes,Model A,2022,15000.0,124920.90583631671,Munich,2015-07-14 00:00:00,0.12007597847276605,2015,Mid-Range,Model A,High,Hatchback,Hatchback
130,Mercedes,Model C,2020,10000.0,150000.0,Munich,2017-09-19 00:00:00,0.06666666666666667,2017,Mid-Range,Model C,Medium,Wagon,Wagon
131,Ford,Model C,1999,15000.0,124920.90583631671,Berlin,2017-11-07 00:00:00,0.12007597847276605,2017,Mid-Range,Model C,High,SUV,Sport Utility
132,Mercedes,Model C,2004,15000.0,150000.0,Berlin,2015-08-11 00:00:00,0.1,2015,Mid-Range,Model C,High,Sedan,Sedan
133,Volkswagen,Model B,1990,10000.0,100000.0,Frankfurt,2021-03-18 00:00:00,0.1,2021,Mid-Range,Model B,Medium,Convertible,Convertible
134,Mercedes,Model D,2005,15000.0,50000.0,Munich,2012-01-21 00:00:00,0.3,2012,Mid-Range,Model D,High,Hatchback,Hatchback
135,Ford,Model B,2010,25000.0,200000.0,Cologne,2016-10-13 00:00:00,0.125,2016,Premium,Model B,High,Wagon,Wagon
136,Ford,Model B,1991,10000.0,124920.90583631671,Cologne,2019-02-09 00:00:00,0.08005065231517737,2019,Mid-Range,Model B,Medium,SUV,Sport Utility
137,Volkswagen,Model C,1992,25000.0,100000.0,Frankfurt,2017-05-17 00:00:00,0.25,2017,Premium,Model C,High,Sedan,Sedan
138,Audi,Model D,2004,25000.0,50000.0,Cologne,2010-12-08 00:00:00,0.5,2010,Premium,Model D,High,Convertible,Convertible
139,Audi,Model A,2021,5000.0,100000.0,Frankfurt,2021-10-08 00:00:00,0.05,2021,Budget,Model A,Medium,Hatchback,Hatchback
140,Mercedes,Model C,2016,10000.0,50000.0,Frankfurt,2013-04-22 00:00:00,0.2,2013,Mid-Range,Model C,Medium,Wagon,Wagon
141,BMW,Model D,2013,15000.0,124920.90583631671,Hamburg,2012-03-04 00:00:00,0.12007597847276605,2012,Mid-Range,Model D,High,SUV,Sport Utility
142,Mercedes,Model A,1997,5000.0,150000.0,Frankfurt,2011-03-21 00:00:00,0.03333333333333333,2011,Budget,Model A,Medium,Sedan,Sedan
143,Volkswagen,Model B,1996,15000.0,50000.0,Frankfurt,2014-02-22 00:00:00,0.3,2014,Mid-Range,Model B,High,Convertible,Convertible
144,Volkswagen,Model D,1993,15000.0,50000.0,Berlin,2016-11-23 00:00:00,0.3,2016,Mid-Range,Model D,High,Hatchback,Hatchback
145,Volkswagen,Model B,2019,25000.0,100000.0,Hamburg,2020-10-16 00:00:00,0.25,2020,Premium,Model B,High,Wagon,Wagon
146,Volkswagen,Model B,1999,15000.0,124920.90583631671,Munich,2022-02-08 00:00:00,0.12007597847276605,2022,Mid-Range,Model B,High,SUV,Sport Utility
147,Volkswagen,Model D,2014,5000.0,100000.0,Cologne,2019-03-20 00:00:00,0.05,2019,Budget,Model D,Medium,Sedan,Sedan
148,Ford,Model A,2021,10000.0,150000.0,Frankfurt,2013-01-23 00:00:00,0.06666666666666667,2013,Mid-Range,Model A,Medium,Convertible,Convertible
149,Audi,Model D,2021,15000.0,200000.0,Frankfurt,2010-01-22 00:00:00,0.075,2010,Mid-Range,Model D,High,Hatchback,Hatchback
150,Volkswagen,Model A,2021,10000.0,100000.0,Munich,2015-12-19 00:00:00,0.1,2015,Mid-Range,Model A,Medium,Wagon,Wagon
151,BMW,Model C,1999,15000.0,200000.0,Frankfurt,2014-09-16 00:00:00,0.075,2014,Mid-Range,Model C,High,SUV,Sport Utility
152,BMW,Model C,1998,20000.0,100000.0,Berlin,2010-01-26 00:00:00,0.2,2010,Premium,Model C,High,Sedan,Sedan
153,BMW,Model C,2014,25000.0,50000.0,Cologne,2018-06-21 00:00:00,0.5,2018,Premium,Model C,High,Convertible,Convertible
154,BMW,Model B,2014,15000.0,150000.0,Frankfurt,2017-11-12 00:00:00,0.1,2017,Mid-Range,Model B,High,Hatchback,Hatchback
155,Ford,Model C,2005,25000.0,200000.0,Hamburg,2011-06-24 00:00:00,0.125,2011,Premium,Model C,High,Wagon,Wagon
156,BMW,Model B,2005,20000.0,200000.0,Hamburg,2022-12-16 00:00:00,0.1,2022,Premium,Model B,High,SUV,Sport Utility
157,Volkswagen,Model A,2019,15000.0,100000.0,Munich,2011-04-25 00:00:00,0.15,2011,Mid-Range,Model A,High,Sedan,Sedan
158,Mercedes,Model D,1994,15000.0,150000.0,Hamburg,2012-11-10 00:00:00,0.1,2012,Mid-Range,Model D,High,Convertible,Convertible
159,BMW,Model D,1996,20000.0,100000.0,Munich,2013-07-28 00:00:00,0.2,2013,Premium,Model D,High,Hatchback,Hatchback
160,Ford,Model B,2002,25000.0,200000.0,Frankfurt,2021-10-18 00:00:00,0.125,2021,Premium,Model B,High,Wagon,Wagon
161,Ford,Model B,1997,25000.0,150000.0,Hamburg,2012-09-05 00:00:00,0.16666666666666666,2012,Premium,Model B,High,SUV,Sport Utility
162,BMW,Model B,2022,15000.0,100000.0,Berlin,2020-11-23 00:00:00,0.15,2020,Mid-Range,Model B,High,Sedan,Sedan
163,Mercedes,Model A,1999,10000.0,50000.0,Munich,2013-01-02 00:00:00,0.2,2013,Mid-Range,Model A,Medium,Convertible,Convertible
164,BMW,Model A,2009,5000.0,150000.0,Hamburg,2015-03-09 00:00:00,0.03333333333333333,2015,Budget,Model A,Medium,Hatchback,Hatchback
165,Ford,Model C,2021,25000.0,50000.0,Cologne,2012-03-24 00:00:00,0.5,2012,Premium,Model C,High,Wagon,Wagon
166,Audi,Model C,2018,25000.0,150000.0,Berlin,2010-03-30 00:00:00,0.16666666666666666,2010,Premium,Model C,High,SUV,Sport Utility
167,Volkswagen,Model D,1990,15000.0,200000.0,Berlin,2020-11-08 00:00:00,0.075,2020,Mid-Range,Model D,High,Sedan,Sedan
168,Ford,Model C,2016,5000.0,150000.0,Munich,2017-09-10 00:00:00,0.03333333333333333,2017,Budget,Model C,Medium,Convertible,Convertible
169,BMW,Model A,2009,15000.0,50000.0,Hamburg,2014-11-22 00:00:00,0.3,2014,Mid-Range,Model A,High,Hatchback,Hatchback
170,Volkswagen,Model A,2003,15000.0,100000.0,Cologne,2011-06-12 00:00:00,0.15,2011,Mid-Range,Model A,High,Wagon,Wagon
171,BMW,Model A,2004,20000.0,200000.0,Hamburg,2023-04-07 00:00:00,0.1,2023,Premium,Model A,High,SUV,Sport Utility
172,BMW,Model A,1995,20000.0,50000.0,Hamburg,2017-03-07 00:00:00,0.4,2017,Premium,Model A,High,Sedan,Sedan
173,Audi,Model D,1991,15000.0,124920.90583631671,Hamburg,2018-11-13 00:00:00,0.12007597847276605,2018,Mid-Range,Model D,High,Convertible,Convertible
174,Volkswagen,Model D,2018,20000.0,150000.0,Munich,2010-09-01 00:00:00,0.13333333333333333,2010,Premium,Model D,High,Hatchback,Hatchback
175,Volkswagen,Model A,2021,15000.0,124920.90583631671,Munich,2012-12-16 00:00:00,0.12007597847276605,2012,Mid-Range,Model A,High,Wagon,Wagon
176,Audi,Model B,1994,10000.0,50000.0,Munich,2018-01-24 00:00:00,0.2,2018,Mid-Range,Model B,Medium,SUV,Sport Utility
177,Ford,Model C,2011,10000.0,124920.90583631671,Hamburg,2020-08-28 00:00:00,0.08005065231517737,2020,Mid-Range,Model C,Medium,Sedan,Sedan
178,BMW,Model D,2017,15000.0,50000.0,Hamburg,2011-09-01 00:00:00,0.3,2011,Mid-Range,Model D,High,Convertible,Convertible
179,Mercedes,Model B,2021,20000.0,200000.0,Cologne,2018-01-24 00:00:00,0.1,2018,Premium,Model B,High,Hatchback,Hatchback
180,BMW,Model C,2018,10000.0,100000.0,Berlin,2010-04-20 00:00:00,0.1,2010,Mid-Range,Model C,Medium,Wagon,Wagon
181,BMW,Model B,1992,20000.0,100000.0,Berlin,2018-12-17 00:00:00,0.2,2018,Premium,Model B,High,SUV,Sport Utility
182,Ford,Model A,2020,20000.0,150000.0,Hamburg,2012-03-02 00:00:00,0.13333333333333333,2012,Premium,Model A,High,Sedan,Sedan
183,BMW,Model C,2002,5000.0,200000.0,Berlin,2014-11-02 00:00:00,0.025,2014,Budget,Model C,Medium,Convertible,Convertible
184,Audi,Model B,1995,25000.0,124920.90583631671,Hamburg,2013-03-07 00:00:00,0.2001266307879434,2013,Premium,Model B,High,Hatchback,Hatchback
185,Audi,Model D,2010,10000.0,200000.0,Frankfurt,2021-04-12 00:00:00,0.05,2021,Mid-Range,Model D,Medium,Wagon,Wagon
